,names,links
1694,MVP,https://www.marvel.com/characters/mvp
1695,Mynx,https://www.marvel.com/characters/mynx
1696,Mysterio ,https://www.marvel.com/characters/mysterio-daniel-berkhart
1697,Mysterio ,https://www.marvel.com/characters/mysterio-francis-klum
1698,Mysterio ,https://www.marvel.com/characters/mysterio-quentin-beck
1699,Mystique,https://www.marvel.com/characters/mystique
1700,Mystique ,https://www.marvel.com/characters/mystique-age-of-apocalypse
1701,Mystique ,https://www.marvel.com/characters/mystique-earth-58163
1702,N'Jobu,https://www.marvel.com/characters/njobu
1703,Nagala,https://www.marvel.com/characters/nagala
1704,Nahrees,https://www.marvel.com/characters/nahrees
1705,Nakia,https://www.marvel.com/characters/nakia
1706,Nakia Bahadir,https://www.marvel.com/characters/nakia-bahadir
1707,Namor the Sub-Mariner,https://www.marvel.com/characters/namor
1708,Namora,https://www.marvel.com/characters/namora
1709,Namora ,https://www.marvel.com/characters/namora-earth-2189
1710,Namorita,https://www.marvel.com/characters/namorita
1711,Nanny,https://www.marvel.com/characters/nanny
1712,Nate Grey ,https://www.marvel.com/characters/nate-grey-earth-2098
1713,Nathaniel Richards,https://www.marvel.com/characters/nathaniel-richards
1714,Native,https://www.marvel.com/characters/native
1715,Nebula,https://www.marvel.com/characters/nebula
1716,Nebulon the Celestial Man,https://www.marvel.com/characters/nebulon-the-celestial-man
1717,Nebulos,https://www.marvel.com/characters/nebulos
1718,Needle,https://www.marvel.com/characters/needle
1719,Negasonic Teenage Warhead,https://www.marvel.com/characters/negasonic-teenage-warhead
1720,Negator,https://www.marvel.com/characters/negator
1721,Nekra,https://www.marvel.com/characters/nekra
1722,Nemesis ,https://www.marvel.com/characters/nemesis-infinity-gems-restored
1723,Nemesis ,https://www.marvel.com/characters/nemesis-jane-st-ives
1724,Nepthys ,https://www.marvel.com/characters/nepthys-sandahl-swarn
1725,Ness,https://www.marvel.com/characters/ness
1726,Neurotap,https://www.marvel.com/characters/neurotap
1727,Neutron,https://www.marvel.com/characters/neutron
1728,Nezarr,https://www.marvel.com/characters/nezarr
1729,Nicholas Scratch,https://www.marvel.com/characters/nicholas-scratch
1730,Nick Fury,https://www.marvel.com/characters/nick-fury
1731,Nick Fury ,https://www.marvel.com/characters/nick-fury-ultimate
1732,Nick Fury Jr.,https://www.marvel.com/characters/nick-fury-jr
1733,Nick Fury,https://www.marvel.com/characters/nick-fury-sr
1734,Nico Minoru,https://www.marvel.com/characters/nico-minoru-sister-grimm
1735,Niels,https://www.marvel.com/characters/niels
1736,Night Nurse,https://www.marvel.com/characters/night-nurse-linda-carter
1737,Night Raven,https://www.marvel.com/characters/night-raven
1738,Night Thrasher ,https://www.marvel.com/characters/night-thrasher-donyell-taylor
1739,Night Thrasher ,https://www.marvel.com/characters/night-thrasher-dwayne-taylor
1740,Nightcrawler,https://www.marvel.com/characters/nightcrawler
1741,Nightcrawler ,https://www.marvel.com/characters/nightcrawler-age-of-apocalypse
1742,Nightcrawler ,https://www.marvel.com/characters/nightcrawler-earth-58163
1743,Nightcrawler ,https://www.marvel.com/characters/nightcrawler-ultimate
1744,Nighthawk ,https://www.marvel.com/characters/nighthawk-kyle-richmond
1745,Nighthawk ,https://www.marvel.com/characters/nighthawk-neal-richmond
1746,Nightmare,https://www.marvel.com/characters/nightmare
1747,Nightshade,https://www.marvel.com/characters/nightshade-tilda-johnson
1748,Nightside,https://www.marvel.com/characters/nightside
1749,Nightwatch,https://www.marvel.com/characters/nightwatch
1750,Nikki,https://www.marvel.com/characters/nikki
1751,Nikki Ramos,https://www.marvel.com/characters/nikki-ramos
1752,Nina McCabe,https://www.marvel.com/characters/nina-mccabe
1753,Nitro ,https://www.marvel.com/characters/nitro-robert-hunter
1754,Nocturne ,https://www.marvel.com/characters/nocturne-talia-wagner
1755,Nocturne ,https://www.marvel.com/characters/nocturne-thalia-wagner
1756,Noir ,https://www.marvel.com/characters/noir-sa-ida-zebari
1757,Nomad ,https://www.marvel.com/characters/nomad-jack-monroe
1758,North Wind,https://www.marvel.com/characters/north-wind
1759,Northstar,https://www.marvel.com/characters/northstar
1760,Nova ,https://www.marvel.com/characters/nova-frankie-raye
1761,Nova ,https://www.marvel.com/characters/nova-richard-rider
1762,Nova,https://www.marvel.com/characters/nova-sam-alexander
1763,Nova Omega ,https://www.marvel.com/characters/nova-omega-garthan-saal
1764,Nox,https://www.marvel.com/characters/nox
1765,Nuke,https://www.marvel.com/characters/nuke-frank-simpson
1766,Nuklo,https://www.marvel.com/characters/nuklo
1767,Null the Living Darkness,https://www.marvel.com/characters/null-the-living-darkness
1768,Numecet,https://www.marvel.com/characters/numecet
1769,Nut,https://www.marvel.com/characters/nut
1770,Nyko Halfghanaghan,https://www.marvel.com/characters/nyko-halfghanaghan
1771,Oberon,https://www.marvel.com/characters/oberon
1772,Obliterator ,https://www.marvel.com/characters/obliterator-alien
1773,Obliterator ,https://www.marvel.com/characters/obliterator-maht-pacle
1774,Oblivion,https://www.marvel.com/characters/oblivion
1775,Occulus,https://www.marvel.com/characters/occulus
1776,Oddball ,https://www.marvel.com/characters/oddball-elton-healey
1777,Odin,https://www.marvel.com/characters/odin
1778,Officer Z.E.R.O.,https://www.marvel.com/characters/officer-z-e-r-o
1779,Ogre,https://www.marvel.com/characters/ogre
1780,Okoye,https://www.marvel.com/characters/okoye
1781,Old Sam ,https://www.marvel.com/characters/old-sam-of-the-clear-eye-shadow
1782,Olivier,https://www.marvel.com/characters/olivier
1783,Olivier Stoker,https://www.marvel.com/characters/olivier-stoker
1784,Omega ,https://www.marvel.com/characters/omega-michael-pointer
1785,Omega ,https://www.marvel.com/characters/omega-thanosi
1786,Omega ,https://www.marvel.com/characters/omega-the-unknown
1787,Omega Red,https://www.marvel.com/characters/omega-red
1788,Omegex,https://www.marvel.com/characters/omegex
1789,One-Eyed Jacquie,https://www.marvel.com/characters/one-eyed-jacquie
1790,Onomi Whitemane,https://www.marvel.com/characters/onomi-whitemane
1791,Onslaught,https://www.marvel.com/characters/onslaught
1792,Oola Udonta,https://www.marvel.com/characters/oola-udonta
1793,Oracle,https://www.marvel.com/characters/oracle
1794,Orb ,https://www.marvel.com/characters/orb-drake-shannon
1795,Orb ,https://www.marvel.com/characters/orb-unrevealed
1796,Orbus,https://www.marvel.com/characters/orbus
1797,Ord,https://www.marvel.com/characters/ord
1798,Organizer,https://www.marvel.com/characters/organizer
1799,Origin,https://www.marvel.com/characters/origin
1800,Orikal,https://www.marvel.com/characters/orikal
1801,Orka,https://www.marvel.com/characters/orka
1802,Ororo Munroe ,https://www.marvel.com/characters/ororo-munroe-house-of-m
1803,Orphan-Maker,https://www.marvel.com/characters/orphan-maker
1804,Osiris,https://www.marvel.com/characters/osiris
1805,Otis Johnson,https://www.marvel.com/characters/otis-johnson
1806,Otto Octavius ,https://www.marvel.com/characters/otto-octavius-house-of-m
1807,Otto von Doom ,https://www.marvel.com/characters/otto-von-doom-earth-311
1808,Overdrive,https://www.marvel.com/characters/overdrive
1809,Overkill ,https://www.marvel.com/characters/overkill-earth-691
1810,Overmind,https://www.marvel.com/characters/overmind
1811,Pagan,https://www.marvel.com/characters/pagan
1812,Paibok,https://www.marvel.com/characters/paibok
1813,Paladin,https://www.marvel.com/characters/paladin
1814,Pan ,https://www.marvel.com/characters/pan-olympian
1815,Pandara,https://www.marvel.com/characters/pandara
1816,Pandemic,https://www.marvel.com/characters/pandemic
1817,Pandemonia,https://www.marvel.com/characters/pandemonia
1818,Panther God,https://www.marvel.com/characters/panther-god
1819,Pao Fu,https://www.marvel.com/characters/pao-fu
1820,Paper Doll,https://www.marvel.com/characters/paper-doll
1821,Paradox,https://www.marvel.com/characters/paradox
1822,Patchwork ,https://www.marvel.com/characters/patchwork-kyle-barker
1823,Pathway,https://www.marvel.com/characters/pathway
1824,Patriot ,https://www.marvel.com/characters/patriot-elijah-bradley
1825,Patriot,https://www.marvel.com/characters/patriot-rayshaun-lucas
1826,Paul Steinen,https://www.marvel.com/characters/paul-steinen
1827,Pazuzu,https://www.marvel.com/characters/pazuzu
1828,Pearla,https://www.marvel.com/characters/pearla
1829,Peggy Carter,https://www.marvel.com/characters/peggy-carter
1830,Peliali,https://www.marvel.com/characters/peliali
1831,Penance ,https://www.marvel.com/characters/penance-claudette-nicolette-st-croix
